genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count
"[18, 37]",600583,en,"A domineering but charismatic rancher wages a war  of intimidation on his brother's new wife and her teen son, until long-hidden secrets come to light.",285.707,9/13/2021,The Power of the Dog,6.5,330
"[10751, 14, 16, 28, 12]",527774,en,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",311.7,3/3/2021,Raya and the Last Dragon,8.1,4639
[28],767304,en,"When his wife is kidnapped by terrorists for ransom, veteran war hero Brad Paxton races against the clock to rescue her in a daring and deadly operation that pits him against powerful and dark forces.",264.041,1/8/2021,Redemption Day,6.6,165
[18],567690,en,"Evan Hansen, a high schooler with social anxiety, unintentionally gets caught up in a lie after the family of a classmate who committed suicide mistakes one of Hansen’s letters for their son’s suicide note.",276.035,9/24/2021,Dear Evan Hansen,6.7,89
[878],681887,en,"In the year 2524, four centuries after humans started colonizing the outer planets, retired General James Ford gets called back into service when a hostile alien fleet attacks soldiers on a remote planet. The threat against mankind soon escalates into an interstellar war as Ford and a team of elite soldiers try to stop the imminent attack before it's too late.",273.237,3/12/2021,Cosmic Sin,4.3,382
"[10751, 35, 14]",8871,en,"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch.",256.992,11/17/2000,How the Grinch Stole Christmas,6.7,5618
"[10749, 18]",613504,en,Tessa finds herself struggling with her complicated relationship with Hardin; she faces a dilemma that could change their lives forever.,301.702,9/2/2020,After We Collided,7.3,4336
"[16, 10751, 35, 14]",360920,en,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,259.229,11/8/2018,The Grinch,6.8,2772
[53],714968,en,"Germany 1945, Max, a Jewish Holocaust survivor, meets a radical group of Jewish resistance fighters, who, like him, lost all hope for their future after they were robbed of their existence and their entire families were killed by the Nazis. They dream of retaliation on an epic scale for the Jewish people. An eye for an eye, a tooth for a tooth. Max starts identifying with the group's monstrous plans...",275.541,8/16/2021,Plan A,5.4,17
"[16, 35, 14]",813258,en,Drac tries out some new monster pets to help occupy Tinkles for playtime.,274.11,4/2/2021,Monster Pets: A Hotel Transylvania Short,7.6,262
"[12, 16, 10751, 14]",588921,en,"An epic journey of a young hero and her Spirit Guides, 'Dillo' a cute and humorous armadillo and ""Vaca"" a goofy oversized tapir, who embark on a quest to save their home in the spectacular Amazon Rainforest.",270.271,2/9/2021,Ainbo: Spirit of the Amazon,7.2,249
"[28, 18, 80]",706972,en,"A man will become a criminal to save his family.  Director: Shawn Welling  Writer: Derek H. Potts  Stars: Tom Vera, Tom Sizemore, Lee Majors |",254.153,1/22/2021,Narco Sub,7.1,61
